Date ,Transaction Amount,% owed by Fee,Amount Owed by Fee,Transaction Details,Notes
,,,,,
,,,,,
16/08/2017,95.63,100%,95.63,VISA DEBIT PURCHASE CARD 9088 WOOLWORTHS 1268 COWRA,I think this was beer and fags that alan bought
14/06/2017,24.75,0%,0,VISA DEBIT PURCHASE CARD 9088 MCDONALDS COWRA COWRA,
09/06/2017,26,50%,13,VISA DEBIT PURCHASE CARD 9088 HOLYCOTT HOTEL LITHGOW,
09/06/2017,21.5,50%,10.75,VISA DEBIT PURCHASE CARD 9088 THE FLOWER ROOM NEWTOWN,
09/06/2017,12.6,50%,6.3,VISA DEBIT PURCHASE CARD 9088 HOLYCOTT HOTEL LITHGOW,
09/06/2017,10,50%,5,VISA DEBIT PURCHASE CARD 9088 SUBWAY SNACKS SYDNEY,
09/06/2017,25.35,50%,12.675,VISA DEBIT PURCHASE CARD 9088 MCDONALDS CROYDON CROYDON,
08/06/2017,103,50%,51.5,VISA DEBIT PURCHASE CARD 9088 TARGET 5286 GLEBE,
08/06/2017,20,50%,10,VISA DEBIT PURCHASE CARD 9088 KMART 1155 BROADWAY,
07/06/2017,18,50%,9,VISA DEBIT PURCHASE CARD 9088 WATS ON EVENTS PTY LTD KURMOND,
07/06/2017,9.8,50%,4.9,VISA DEBIT PURCHASE CARD 9088 MCDONALDS MARRICKV ME MARRICKVILLE,
06/06/2017,140,40%,56,VISA DEBIT PURCHASE CARD 9088 ASICS OCEANIA PTY LT DRUMMOYNE,
06/06/2017,18.51,50%,9.255,VISA DEBIT PURCHASE CARD 9088 WOOLWORTHS 1649 MARRICKVILLE,
06/06/2017,18,50%,9,VISA DEBIT PURCHASE CARD 9088 CAFE4ME PTY LTD SURRY HILLS,
06/06/2017,23.5,50%,11.75,VISA DEBIT PURCHASE CARD 9088 SYNG PTY LTD NEWTOWN,
06/06/2017,27.98,50%,13.99,VISA DEBIT PURCHASE CARD 9088 MARLBOROUGH HOTEL NEWT NEWTOWN,
06/06/2017,10,50%,5,VISA DEBIT PURCHASE CARD 9088 FARMA HOT FOOD SYDNEY,
05/06/2017,10.8,50%,5.4,VISA DEBIT PURCHASE CARD 9088 FNA P/L WATERLOO,
05/06/2017,31.6,50%,15.8,VISA DEBIT PURCHASE CARD 9088 STRINGS PREMIUM VIET NEWTOWN,
05/06/2017,24,50%,12,VISA DEBIT PURCHASE CARD 9088 BOTANY BUZZ PTY LTD BOTANY,
05/06/2017,11.85,50%,5.925,VISA DEBIT PURCHASE CARD 9088 WOOLWORTHS 1649 MARRICKVILLE,
05/06/2017,10,50%,5,EFTPOS TFNSW RAIL                  MASCOT,
05/06/2017,23,50%,11.5,VISA DEBIT PURCHASE CARD 9088 TOWN HALL HOTEL NEWTOW NEWTOWN,
05/06/2017,46.8,50%,23.4,VISA DEBIT PURCHASE CARD 9088 COUNTRYLINK SYDNEY,
05/06/2017,14.89,50%,7.445,VISA DEBIT PURCHASE CARD 9088 ALDI STORES BYRON BAY,
05/06/2017,24.5,50%,12.25,VISA DEBIT PURCHASE CARD 9088 BYRON BAY CANTINA PTY BYRON BAY,
05/06/2017,19,50%,9.5,VISA DEBIT PURCHASE CARD 9088 GREAT NORTHERN HOTEL BYRON BAY,
05/06/2017,19,50%,9.5,VISA DEBIT PURCHASE CARD 9088 GREAT NORTHERN HOTEL BYRON BAY,
05/06/2017,8,50%,4,VISA DEBIT PURCHASE CARD 9088 ZAZA KEBAB BYRON BAY,
02/06/2017,40.2,50%,20.1,EFTPOS THE LUCKY CHARM QVB         SYDNEY,
02/06/2017,36,50%,18,VISA DEBIT PURCHASE CARD 9088 ONE BABYLON HAIRDRES SYDNEY,
31/05/2017,50.22,100%,50.22,VISA DEBIT PURCHASE CARD 9088 VODAFONE NORTH SYDNEY,
31/05/2017,22.57,50%,11.285,VISA DEBIT PURCHASE CARD 9088 ALDI STORES BYRON BAY,
31/05/2017,2.65,50%,1.325,VISA DEBIT PURCHASE CARD 9088 ALDI STORES BYRON BAY,
31/05/2017,13.04,50%,6.52,VISA DEBIT PURCHASE CARD 9088 ALDI STORES BYRON BAY,
30/05/2017,16.5,50%,8.25,VISA DEBIT PURCHASE CARD 9088 TREEHOUSE ON BELONGIL BYRON BAY,
30/05/2017,9.5,50%,4.75,VISA DEBIT PURCHASE CARD 9088 CAPE CAFE BYRON BAY,
29/05/2017,59.52,50%,29.76,VISA DEBIT PURCHASE CARD 9088 TIGER AIRWAYS AUSTRALI BOWEN HILLS,
29/05/2017,127.5,50%,63.75,EFTPOS BYRON BEACH RESORT    BYRBYRON BAY    NS,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
